Name,Calcium,Calories,Cholesterol,Contains,Dietary Fiber,Dietary Fiber <,Ingredients,Iron,Potas.,Protein,Protein <,Saturated Fat,Serving Size,Sodium,Total Carbohydrate,Total Fat,Total Sugars,Total Sugars <,Trans Fat,Vit. D
Danish Cauliflower Cheese Soup (v),210mg,230,30mg,"Milk, Wheat",0g,,"Lowfat Milk(Milk, vitamin D3), Water, Cauliflower Florette (vgn)(Cauliflower), Cheddar Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial), Annatto Color), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Canola Oil(Canola Oil), Heavy Cream(Milk, cream), Celery(Celery), Onions, Sherry Cooking Wine(Wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate (preservative), potassium metabisulfite (preservative).), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Peeled Garlic Clove, Kosher Salt(Kosher Salt), Spices(Ground White Pepper)",0.52mg,260mg,8g,,6g,6 oz Ladle (214g),250mg,13g,18g,4g,,0g,0.8mcg
Tomato Basil Soup (v),31mg,100,0mg,Wheat,,1g,"Water, Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Onions, Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Tomato Paste(Vine-ripened fres tomatoes and naturally dervied citric acid.), Brown Sugar (vgn)(Brown Sugar (Cane Sugar, Cane Syrups)), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Canola Oil(Canola Oil), Madeira Wine(Wine Madeira), Fresh Herbs, Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Kosher Salt(Kosher Salt)",0.30mg,240mg,,1g,0.5g,6 oz Ladle (171g),150mg,7g,8g,5g,,0g,0mcg
Cream of Wheat (vgn),209mg,100,10mg,Wheat,0g,,"Cream Of Wheat Cereal, Water",2.78mg,190mg,5g,,1.5g,1/2 Cup (114g),170mg,14g,2.5g,6g,,,1.5mcg
New England Clam Chowder,97mg,240,55mg,"Milk, Shellfish, Wheat",,1g,"Milk, Homogenized *ccp(Milk, vitamin D3), Water, Chopped Clams, Frzen *ccp(Clam meat or clam meat and natural juice or clam meat. OR Ocean Clams and Ocean Clam Juice, Sodium Tripolyphosphate (to retain ntaural juices), Carrageenan ( to enhance flavor) and Calcium Disodium EDTA (to protect color) OR Clams, Clam Juice, Sea Salt, Phosphate & Carrageenan.), Heavy Cream(Milk, cream), Potato, Small Diced, PRE COOKED(Potato), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Celery, Diced(Celery), Onions, Clam Base(Cooked Clams with Clam Juice and Clam Extract, Salt, Butter Oil, Hydrolyzed Corn Protein, Maltodextrin, Yeast Extract, Sugar, Onion Powder, Dehydrated Potato Flakes, Natural Flavor [with Torula Yeast, Gum Arabic, Citric Acid].), Sherry Cooking Wine(Wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate (preservative), potassium metabisulfite (preservative).), Kosher Salt(Kosher Salt), Spices(Granulated garlic), Tabasco Sauce (vgn)(Distilled vinegar, red pepper, salt.), Fresh Herbs(Thyme), Spices(Ground White Pepper), Spices(Whole Bay Leaves)",0.89mg,220mg,6g,,10g,6 oz Ladle (217g),600mg,17g,16g,4g,,0g,1.0mcg
French Onion Soup (vgn),20mg,90,0mg,Soy,1g,,"Onions, Water, Sherry Cooking Wine(Wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate (preservative), potassium metabisulfite (preservative).), Worcestershire Sauce(Water, Vinegar, Corn Syrup, High Fructose Corn Syrup, Molasses, Salt, Caramel Color, Natural & Artifical Flavors, Corn Starch, Spices, Onion Powder, Garlic Powder, Tamarind, Citric Acid, Sodium Benzoate (preservative), Sulfiting Agent.), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Peeled Garlic Clove, Spices(Ground White Pepper)",0.33mg,160mg,2g,,0g,6 oz Ladle (170g),135mg,15g,3.5g,5g,,0g,0mcg
Baked Sweet Potato (vgn),42mg,100,0mg,,4g,,Sweet Potato(Sweet Potato),0.76mg,520mg,2g,,0g,Piece (111g),40mg,23g,0g,7g,,0g,0mcg
Watermelon (vgn),9mg,35,0mg,,0g,,Watermelon,0.30mg,140mg,,1g,0g,Slice (125g),0mg,9g,0g,8g,,0g,0mcg
Organic Fresh Strawberry (vgn),18mg,35,0mg,,2g,,Strawberry,0.46mg,170mg,,1g,0g,1/2 Cup (113g),0mg,9g,0g,5g,,,0.0mcg
Whole Plain Greek Yogurt (v),57mg,60,15mg,Milk,0g,,"Grade A Pasteurized Whole Milk, Live Active Cultures. Cultured after Pasteurization.",0.00mg,80mg,2g,,3g,1/4 Cup (57g),25mg,3g,4.5g,2g,,0g,0.0mcg
Kale & Quinoa Salad w/Almonds (w/nuts),189mg,240,5mg,"Milk, Tree Nuts",4g,,"Green Kale (vgn)(Kale), Organic Quinoa(Quinoa), Blanched Slivered Almond(Almonds, Blanched. Allergen Information: May contain peanuts and/or other tree nuts, egg and soy.), Cheese Ricotta Salata(Pasteurized whey, cream and milk (animal rennet source).), Cranberry Dried(Cranberries, Sugar, Citric Acid, Sunflower Oil and Aronia juice concentrate), Extra Virgin Olive Oil (vgn)(Extra virgin olive oil), Green Onion(Green Onion), White Wine Vinegar(White Wine Vinegar (diluted with water to 5% acidity), Potassium Metabisulfite (Preservative).), Dijon Mustard(Water, Mustard Seeds, Distilled Vinegar, Salt, Citric Acid.), Whole Grain Dijon Mustard(Mustard Seeds, Water, Distilled Vinegar, Salt, White Wine, Citric Acid, Natural Flavors, Potassium Metabisulphite (Preservative), Tumeric. Contains Sulfites. Processed In A Facility That Contains Peanuts and Tree Nuts.), Local Unfiltered Honey (v)(Honey), Fresh Herbs(Dill), Kosher Salt(Kosher Salt), Spices(Black Pepper), Lemons, Water",1.58mg,260mg,6g,,3g,4 oz (116g),190mg,16g,17g,8g,,,0.0mcg
Vegetarian Taco Salad (v),87mg,140,10mg,"Eggs, Milk, Soy, Wheat",4g,,"Mexican Style Vegetarian Chili Beans(Beans, water, salt, spices, tomato paste, sugar, soybean oil, spice extract. OR Prepared Pinto Beans, Water. Contains 2% or less of: Tomato Paste, Salt, Modified Corn Starch, Spice, Corn Oil, Garlic Powder, Onion Powder, Extractive of Paprika.), Iceberg Lettuce(Iceberg Lettuce), Tomatoes, Fresh Yellow Corn on the Cob(Corn), Cheddar Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial), Annatto Color), Mayonnaise (v)(Soybean Oil, Water, Egg Yolks, Distilled Vinegar, High Fructose Corn Syrup, Contains Less Than 2% Of Salt, Spice, Lemon Juice Concentrate, Calcium Disodium Edta Added To Protect Flavor. Contains: Egg.), Corn Tortilla(Ingredients: Whole Grain Corn, Water, Vegetable Oil (Contains One or More of the Following: Cottonseed Oil, Corn Oil, Palm Oil), Contains 2% or Less of: Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Lime.), Buttermilk(Skim Milk, Non Fat Milk Solids, Culture, and Salt.), Sliced Olive (vgn)(Ripe Olives, Water, Sea Salt, Ferrous Gluconate (Added To Stabilize Color)), Green Onion(Green Onion), Dijon Mustard(Water, Mustard Seeds, Distilled Vinegar, Salt, Citric Acid.), Chile Chipotle In Adobo Sauce(Chipotle peppers, water, tomato puree, corn oil, corn starch, salt, vinegar, caramel color, onion powder, garlic powder, spices. OR Chipotle peppers, water, tomato puree, vinegar, salt, sugar, garlic, and canola oil. OR Water, Tomato Paste, Dried Chipotle Peppers, Distilled Vinegar, Corn Oil, Contains 2% or less of Iodized Salt (Contains Potassium Iodate), Corn Starch, Onion Powder, Garlic Powder, Spices.), Spices(Garlic granulated.), Spices(Onion powder), Kosher Salt(Kosher Salt), Fresh Herbs(Cilantro), Spices(Parsley Flake)",216.39mg,370mg,6g,,2g,1/2 Cup (152g),310mg,16g,7g,2g,,,0.0mcg
Baked Potato (vgn),9mg,160,0mg,,3g,,Baker Potato(Potato),0.57mg,690mg,3g,,0g,Potato (182g),5mg,37g,0g,2g,,0g,0mcg
