id,Name,Calcium_mg,Calories,Cholesterol <_mg,Cholesterol_mg,Contains,Dietary Fiber <_g,Dietary Fiber_g,Ingredients,Iron_mg,Potas._mg,Protein_g,Saturated Fat_g,Serving Size,Sodium_mg,Total Carbohydrate <_g,Total Carbohydrate_g,Total Fat_g,Total Sugars <_g,Total Sugars_g,Trans Fat_g,Vit. D_mcg
390,Whole Grain Rotini w/Tomato & Garlic(vgn,39.0,180,,0.0,"Eggs, Wheat",,4.0,"Whole Grain Rotini(Whole Grain Durum Wheat Flour.), All Roma Tomatoes(Tomato), Peeled Garlic Clove, Fresh Herbs, Extra Virgin Olive Oil (vgn)(Extra virgin olive oil), Salt (vgn)(Salt, Yellow Prussiate Of Soda.), Spices(Black Pepper)",1.72,160.0,6.0,1.5,4 oz. (114g),550.0,,27.0,6.0,1.0,,0.0,0.0
391,Chicken Corn Dog,33.0,190,,30.0,"Eggs, Soy, Wheat",1.0,,"Chicken Corn Dog(Water, Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Yellow Corn Flour, Enriched Degermed Yellow Corn Meal (Yellow Corn Meal, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Soy Flour, Contains Less Than 2% Of: Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Soybean Oil, Salt, Egg Yolk, Potato Flour, Egg White, Dried Honey, Artificial Flavor. Fried in Vegetable Oil. Mechanically Separated Chicken, Water, Salt, Contains 2% Or Less of The Following: Corn Syrup Solids, Potassium Lactate, Potassium Acetate, Spices, Sodium Phosphate, Sodium Diacetate, Flavorings, Sodium Erythorbate, Sodium Nitrite.)",0.73,120.0,7.0,2.5,Corn Dog (76g),470.0,,18.0,9.0,,6.0,0.0,0.0
392,Chinese Chicken Salad (w/nuts),23.0,170,,35.0,"Peanuts, Sesame, Soy, Tree Nuts, Wheat",1.0,,"Chicken Breast Boneless/Skinless Random(Boneless, skinless chicken breast filets with rib meat.), Nappa Cabbage(Nappa Cabbage), Celery(Celery), Plain Rice Vinegar(Rice vinegar (made from real rice), water, diluted with water to 4.2% acidity.), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Chow Mein Noodle(Enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, palm oil, contains 2% or less of: salt, yeast, sugar.), Mushroom Soy Sauce(Water, Defatted Soybean, Wheat, Salt, Sugar, Monosodium Glutamate, Disodium 5' - Inosinate And Disodium 5' - Guanylate, Mushroom Extract, Sodium Benzoate As Preservatives, Natural Color (Caramel), Artificial Flavor. OR Water, Defatted Soybean, Wheat, Salt, Sugar, Mushroom Extract Flavor Enhancers: Monosodium Glutamate (INS621), Disodium 5' Inosinate (INS631), And Disodium 5'- Guanylate (INS627), Preservative: Sodium Benzoate (INS211), Natural Color: Caramel Color (INS150c), Artificial Mushroom Flavor).), Green Onion(Green Onion), Blanched Peanut(Peanuts. May Contain Tree Nuts.), Granulated Sugar (vgn)(Sugar), Sesame Oil(Sesame oil (made from toasted white sesame seeds).), Sliced Almond(Almonds. Packaged in a facility that also processed Wheat, Peanuts, Soy, Milk, Egg and other Tree Nuts.), Peeled Garlic Clove",0.73,230.0,13.0,1.5,1/2 Cup (113g),390.0,,8.0,11.0,,4.0,0.0,0.0
393,Onion Roll (v),22.0,180,,20.0,"Eggs, Milk, Wheat",,1.0,"All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Whole Milk(Milk, vitamin D3), Water, Fresh Cage Free Egg(Egg), Granulated Sugar (vgn)(Sugar), Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Dried Chopped Onion(Dehydrated Onion), Dry Active Yeast(Yeast, Sorbitan Monostearate OR Large Flake Inactive Nutritional Yeast), Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.), Salt (vgn)(Salt, Yellow Prussiate Of Soda.)",1.62,45.0,5.0,1.5,Roll (64g),170.0,,31.0,3.5,,4.0,0.0,0.2
394,Raisin Rum Rice Pudding (v),99.0,140,,10.0,Milk,,1.0,"Whole Milk(Milk, vitamin D3), Arborio Rice(Super Fine Italian Rice. Or Arborio Rice.), Raisin (vgn), Granulated Sugar (vgn)(Sugar), Rum, Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.), Flavorings(Water, Propylene Glycol, Caramel Color and Artificial Flavors.), Spices, Salt (vgn)(Salt, Yellow Prussiate Of Soda.)",0.25,160.0,3.0,1.5,1/2 Cup (116g),85.0,,23.0,4.0,,13.0,,0.7
395,French Onion Soup (vgn),20.0,90,,0.0,Soy,,1.0,"Onions, Water, Sherry Cooking Wine(Wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate (preservative), potassium metabisulfite (preservative).), Worcestershire Sauce(Water, Vinegar, Corn Syrup, High Fructose Corn Syrup, Molasses, Salt, Caramel Color, Natural & Artifical Flavors, Corn Starch, Spices, Onion Powder, Garlic Powder, Tamarind, Citric Acid, Sodium Benzoate (preservative), Sulfiting Agent.), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Peeled Garlic Clove, Spices(Ground White Pepper)",0.33,160.0,2.0,0.0,6 oz Ladle (170g),135.0,,15.0,3.5,,5.0,0.0,0.0
396,Tilapia w/Red Curry Sauce & Rice,19.0,300,,70.0,"Fish, Shellfish, Wheat",,0.0,"Sustainable Tilapia(Fish), Jasmine Rice(White Jasmine Rice.), Coconut Milk(Coconut Milk, Water, Stabilizer/Emulsifier (Carboxymethyl Cellulose And/Or Polysorbate60), Thickener (Guar Gum And/Or Xanthan Gum), Preservative (Potassium Metabisulfite). OR Coconut Milk, Water, Polysorbate 60, Guar Gum, Sodium Carboxyl Methyl Cellulose, Sodium Metabisulfite (Preservative)), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Red Curry Paste(Dried Red Chili, Garlic, Lemongrass, Salt, Shallot, Galangal, Shrimp Paste (Shrimp, Salt), Kaffir Lime Peel, Pepper.), Fresh Herbs(Cilantro), Spices(Salt, spices (including black pepper), citric acid, onion, sugar, garlic, calcium stearate, silicon dioxide and calcium silicate (to make free flowing), lemon oil & riboflavin (color)), Peeled Garlic Clove, Ginger Root, Water",1.47,520.0,34.0,3.0,7.5 oz (215g),410.0,,27.0,6.0,,0.0,0.0,4.4
397,Beef Hard Shell Taco,28.0,200,,55.0,Soy,1.0,,"Beef Ground Bulk(Ground Beef), Taco Shell(Corn, Water, Vegetable Oil and Salt), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Onions, El Pato Hot Sauce(Tomato puree, water, chilies, onions, garlic, salt, spices, FD&C yellow no. 5.), Diced Green Chile(Diced green chile peppers, water, salt, citric acid, calcium chloride.), Peeled Garlic Clove, Spices(Black Pepper), Kosher Salt(Kosher Salt)",1.84,200.0,16.0,4.0,Taco (88g),140.0,,6.0,12.0,1.0,,0.0,0.0
398,Chipotle Bean Flauta (vgn),153.0,370,,0.0,"Oats, Soy, Wheat",,7.0,"Flour Tortilla(Whole Wheat Flour, Bleached and Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Palm Oil, Soybean Oil contains less than 2% of the following (Salt, Mono & Diglyceride, Baking Powder (Corn Starch, Sodium Acid Phyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Wheat Gluten, Calcium Propionate, Guar Gum, Potassium Sorbate, Fumaric Acid, Enzyme, Sodium Metabisulfite).), Pinto Bean(Pinto Beans), Old Fashion Oatmeal(Whole Grain Rolled Oats), Tofu (vgn)(Water, Soybeans, Calcium Sulfate), Onions, Corn (vgn)(Corn), Shortening Frying Oil(Soybean Oil, Hydrogenated Soybean Oil, TBHQ and Citric Acid Added To Help Preserve Freshness, Dimethylpolysiloxane), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Jumbo Carrot, Celery(Celery), Red Bell Pepper (vgn), Lemons(Lemon), Low Sodium Tamari Soy Sauce (vgn)(Water, Soybeans, Salt, Sugar, Alcohol, Vinegar, Lactic Acid. OR Water, Soybeans, Salt, Alcohol (To Preserve Freshness), Lactic Acid, Rice Vinegar. May Contain Shellfish, Eggs, Fish, Milk, Sesame.), White Wine(Sauterne wine, salt, potassium metabisulfite (preservative). potassium sorbate (preservative)), Fresh Pasilla Chile, Brown Rice(Long Grain Brown Rice), Chiles Chipotle (canned)(Chipotle peppers, water, tomato puree, corn oil, corn starch, salt, vinegar, caramel color, onion powder, garlic powder, spices. OR Chipotle peppers, water, tomato puree, vinegar, salt, sugar, garlic, and canola oil. OR Water, Tomato Paste, Dried Chipotle Peppers, Distilled Vinegar, Corn Oil, Contains 2% or less of Iodized Salt (Contains Potassium Iodate), Corn Starch, Onion Powder, Garlic Powder, Spices.), Kosher Salt(Kosher Salt), Peeled Garlic Clove, Granulated Sugar (vgn)(Sugar), Jalapeno(Jalapeno), Raw Sunflower Seed(Hulled Sunflower Seeds Raw), Spices(Onion powder), Garlic Chopped, Spices(Spanish Paprika), Ground Mustard(Mustard), Spices(Black Pepper), Spices(Turmeric), Spices(Oregano), Spices(Black Cumin Seed), Spices(Chili pepper, spices, salt, silicon dioxide (added to make free flowing), and garlic.), Spices(Ground White Pepper), Spices(Garlic Powder), Spices(Crushed Red Pepper Flake), Water",41.64,390.0,9.0,2.5,Flauta (159g),770.0,,48.0,15.0,,3.0,0.0,0.0
399,Fresh Tomato Salsa (vgn),6.0,10,,0.0,,,0.0,"Tomatoes, Onions(Red Onion), Jalapeno(Jalapeno), Fresh Herbs(Cilantro), Green Onions, Chopped(Green Onion), Peeled Garlic Clove, Kosher Salt(Kosher Salt), Spices(Black Cumin Seed), Spices(Black Pepper)",0.11,70.0,0.0,0.0,1 oz Ladle (32g),70.0,,2.0,0.0,1.0,,0.0,0.0
400,Korean Beef Stir Fry with Rice,31.0,920,,90.0,"Eggs, Sesame, Shellfish, Soy, Wheat",,1.0,"Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Long Grain Rice, Split Inside Round Beef(Beef), Fresh Cage Free Egg(Egg), Mature Mushroom #2(Mushroom), Green Onion(Green Onion), Pea (vgn)(Green Peas), Shiitake Mushroom(Shiitake Mushroom), Oyster Sauce(Water, Sugar, Salt, Oyster Juice Concentrate (Oyster, Water, Salt), Modified Corn Starch, Caramel Color, Yeast Extract, Oyster Extract), Granulated Sugar (vgn)(Sugar), Peeled Garlic Clove, Hoisin Sauce(Sugar, water, fermented soybean (water, soybean, salt, wheat flour), salt, modified tapioca starch, garlic, sesame paste, lemon, cane vinegar, spices (star anise, cinnamon, fennel, szechuan pepper, clove), caramel color, chili (chili, water, salt), xanthan gum, citric acid. Processed in a facility with peanuts and tree nuts.), Low Sodium Tamari Soy Sauce (vgn)(Water, Soybeans, Salt, Sugar, Alcohol, Vinegar, Lactic Acid. OR Water, Soybeans, Salt, Alcohol (To Preserve Freshness), Lactic Acid, Rice Vinegar. May Contain Shellfish, Eggs, Fish, Milk, Sesame.), Water",2.99,240.0,21.0,8.0,7 oz (242g),125.0,,21.0,86.0,,3.0,,0.8
401,Stir Fry Veg w/Thai Swt Chili Sauce(vgn),44.0,170,,0.0,Soy,,2.0,"Long Grain Rice, Water, Nappa Cabbage(Nappa Cabbage), Tofu (vgn)(Water, Soybeans, Calcium Sulfate), Bok Choy, Green Cabbage(Green Cabbage), Whole Carrots, Mandolin Strips(Carrot), Red Bell Pepper, Ketchup (vgn)(Tomato concentrate from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring. Or Tomato concentrate, high fructose corn syrup, distilled vinegar, corn syrup, salt, less than 2% of: spice, onion, natural flavors.), Limes, Seasoned Rice Vinegar(Rice Vinegar (Made From Real Rice), Water, Invert Sugar, Salt, Brown Sugar. Diluted With Water To 4% Acidity (40 Grain).), Brown Sugar (vgn)(Brown Sugar (Cane Sugar, Cane Syrups)), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Green Onion(Green Onion), Peeled Shallot, Peeled Garlic Clove, Jalapeno(Jalapeno), Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Ginger Root, Ginger(Ginger Minced), Diced Garlic(Garlic), Kosher Salt(Kosher Salt), Fresh Herbs(Cilantro), Low Sodium Tamari Soy Sauce (vgn)(Water, Soybeans, Salt, Sugar, Alcohol, Vinegar, Lactic Acid. OR Water, Soybeans, Salt, Alcohol (To Preserve Freshness), Lactic Acid, Rice Vinegar. May Contain Shellfish, Eggs, Fish, Milk, Sesame.), Spices(Black Pepper)",34.66,180.0,4.0,0.5,Cup (198g),220.0,,27.0,5.0,,8.0,,0.0
402,Broccoli Almond Salad (w/nuts) (v),68.0,180,,5.0,"Eggs, Soy, Tree Nuts",,4.0,"Broccoli, Tomatoes, Blanched Slivered Almond(Almonds, Blanched. Allergen Information: May contain peanuts and/or other tree nuts, egg and soy.), Celery, Course Chopped(Celery), Mayonnaise (v)(Soybean Oil, Water, Egg Yolks, Distilled Vinegar, High Fructose Corn Syrup, Contains Less Than 2% Of Salt, Spice, Lemon Juice Concentrate, Calcium Disodium Edta Added To Protect Flavor. Contains: Egg.), Sliced Water Chestnut(Water Chestnuts, Water, Citric Acid.), Onions, Kosher Salt(Kosher Salt), Spices(Black Pepper)",1.0,360.0,5.0,1.5,1/2 Cup (122g),65.0,,10.0,15.0,,2.0,,
403,Cornbread (v),263.0,230,,15.0,"Eggs, Milk, Wheat",,1.0,"Water, Flour, All Purpose(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Yellow Cornmeal(Yellow Cornmeal - Made From Degerminated Yellow Corn), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Granulated Sugar (vgn)(Sugar), Fresh Cage Free Egg(Egg), Powdered Skim Milk(Instant Nonfat Dry Milk), Baking Powder Double Acting(Baking Soda (For Leavening) Cornstarch, Sodium Aluminum Sulfate (For Leavening), Calcium Sulfate, Monocalcium Phosphate (For Leavening).), Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.), Salt (vgn)(Salt, Yellow Prussiate Of Soda.)",1.69,95.0,5.0,1.0,Slice (86g),270.0,,33.0,9.0,,10.0,0.0,0.1
404,Devil's Food Cupcake w/Mocha Icing(v),21.0,310,,15.0,"Eggs, Milk, Soy, Wheat",,2.0,"Powdered Sugar(Sugar, Corn Starch), Brown Sugar (vgn)(Brown Sugar (Cane Sugar, Cane Syrups)), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Water, Boiling, Margarine (vgn)(Oil blend (palm, soybean, canola, and olive oils), water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural &artificial flavor, potassium sorbate and calcium disodium edta (to preserve freshness), lactic acid, vitamin a palmitate, beta-carotene color. OR Palm oil, water, soybean oil, contains less than 2% of salt, whey, vegetable mono & diglycerides, soy lecithin, artificial flavor, beta carotene (color), vitamin A palmitate added.), Whole Milk(Milk, vitamin D3), Fresh Cage Free Egg(Egg), Unsweetened Baking Cocoa(100% Cocoa), Water, Baking Soda(Sodium bicarbonate), Sanka Coffee(Instant Coffee), Flavorings(Water, Propylene Glycol, Caramel Color and Artificial Flavors.), Salt (vgn)(Salt, Yellow Prussiate Of Soda.), Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.), Organic Italian Dark Roast Coffee (vgn)(Organic Roasted Coffee Beans)",2.37,105.0,3.0,3.5,Cupcake (99g),350.0,,53.0,11.0,,38.0,0.0,0.2
405,Roast Beef,12.0,200,,80.0,,,0.0,"Split Inside Round Beef(Beef), Kosher Salt(Kosher Salt), Spices(Black Pepper)",2.3,230.0,27.0,3.5,3 oz (89g),350.0,,0.0,9.0,,0.0,0.0,0.0
406,Mediterranean Orzo Pasta (v),28.0,210,,0.0,Wheat,,2.0,"Orzo Pasta(Durum Wheat Semolina, Niacin, Ferrous Sulfate (Iron), Thiamin Mononitrate, Riboflavin, Folic Acid), Fresh Herbs, Sundried Julienne Tomato(Sun-dried tomato strips, glucose, salt, citric acid, sulfur dioxide (as a preservative). Contains Sulfites.), Large Kalamata Pitted Olive(Kalamata olives, water, salt, wine vinegar, extra virgin olive oil. Processed in a facility that contains peanuts and tree nuts.), Extra Virgin Olive Oil (vgn)(Extra virgin olive oil), Peeled Garlic Clove, Kosher Salt(Kosher Salt), Spices(Black Pepper), Water",1.39,290.0,7.0,1.0,1/2 Cup (112g),320.0,,30.0,6.0,,3.0,0.0,0.0
407,Chicken Tostada,57.0,290,,60.0,"Milk, Soy",,6.0,"Halal Chicken Thigh(Halal Chicken Thigh), Pinto Bean(Pinto Beans), Tostada Shell(Ground corn treated with lime, vegetable oil (may contain one or more of the following: soybean oil, corn oil) with tbhq and citric acid, water. OR Whole grain corn masa flour, vegetable oil (soybean and/or corn and/or canola oil), salt, trace of lime.), Onions, Cotija Cheese(Culture Pasteurized Grade A Milk And Skim Milk, Sea Salt And Enzymes (Microbial).), Kosher Salt(Kosher Salt), Spices(Chili pepper, spices, salt, silicon dioxide (added to make free flowing), and garlic.), Spices(Black Pepper), Spices(Granulated garlic), Spices(Black Cumin Seed)",2.33,400.0,22.0,3.5,Tostada (144g),310.0,,26.0,11.0,1.0,,0.0,0.0
408,Chile Corn Zucchini Soft Taco (vgn),85.0,220,,0.0,"Soy, Wheat",,7.0,"Tortilla Flour Snack(Wheat flour (enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, vegetable shortening (partially hydrogenated soybean and cottonseed oils, vegetable mono & diglycerides, polysorbate 60), soybean oil, contains 2% or less of: salt, mono & diglycerides, calcium propionate, baking powder (corn starch, sodium bicarbonate, sodium aluminum sulfate, monocalcium phosphate), emulsifiers (mono & diglycerides, silicon dioxide, wheat enzymes), potassium sorbate, fumaric acid, gum blend (wheat starch, CMC gum, xanthan gum), sodium bicarbonate, and dough conditioner (sodium metabisulfite).), Fresh Yellow Corn on the Cob(Corn), Zucchini, Grated, Red Pepper, Sliced, Fresh Pasilla Chile, Onions, Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Spices(Chili pepper, spices, salt, silicon dioxide (added to make free flowing), and garlic.), Spices(Black Cumin Seed), Kosher Salt(Kosher Salt), Spices(Black Pepper)",3.22,680.0,6.0,1.5,Taco (141g),270.0,,35.0,8.0,,3.0,0.0,0.0
409,Pineapple Pizza on Wheat (v),170.0,210,,15.0,"Milk, Wheat",,3.0,"Pineapple Tidbits(Pineapple, Pineapple Juice), Mozzerella, Shredded(Cultured Pasteurized Part-Skim Milk, Salt and Enzymes (Microbial).), Warm Water, Whole Wheat Flour(Whole Wheat Flour), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Tomato Paste(Vine-ripened fres tomatoes and naturally dervied citric acid.), Ground Tomato(Vine-ripened fresh tomatoes and salt. OR Vine-ripened fresh tomatoes, salt and naturally derived citric acid.), Water, Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Grated Parmesan Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial).), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Granulated Sugar (vgn)(Sugar), Salt (vgn)(Salt, Yellow Prussiate Of Soda.), Extra Virgin Olive Oil (vgn)(Extra virgin olive oil), Kosher Salt(Kosher Salt), Spices(Granulated garlic), Spices(Crushed Red Pepper Flake), Spices(Basil Leaves), Spices(Oregano Leaves), Fresh Herbs, Spices(Black Pepper)",0.94,190.0,9.0,3.0,Slice (110g),330.0,,28.0,6.0,,4.0,0.0,0.1
410,Beef Pad Thai with Peanuts (w/nuts),24.0,220,,40.0,"Eggs, Fish, Peanuts",,2.0,"Pad Thai Noodle(Ingredients: Rice Flour), Split Inside Round Beef(Beef), Green Cabbage(Green Cabbage), Bean Sprout (vgn)(Bean Sprout), Ketchup (vgn)(Tomato concentrate from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring. Or Tomato concentrate, high fructose corn syrup, distilled vinegar, corn syrup, salt, less than 2% of: spice, onion, natural flavors.), Granulated Sugar (vgn)(Sugar), Fresh Cage Free Egg(Egg), White Wine Vinegar(White Wine Vinegar (diluted with water to 5% acidity), Potassium Metabisulfite (Preservative).), Limes, Fish Sauce(Anchovy Extract (Anchovies, Salt), Sugar.), Blanched Peanut(Peanuts. May Contain Tree Nuts.), Fresh Herbs(Cilantro), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Garlic, Minced, Green Onion(Green Onion), Spices(Crushed Red Pepper Flake)",0.96,160.0,12.0,1.5,3/4 Cup (163g),440.0,,31.0,5.0,,11.0,,0.1
411,Caesar Salad (v),71.0,100,5.0,,"Eggs, Milk, Soy, Wheat",,1.0,"Romaine Cleaned, Chopped(Romaine Lettuce), Crouton (v)(Enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), canola oil, whey, salt, yeast, 2% or less of high fructose corn syrup, calcium propionate (preservative), calcium peroxide, calcium sulfate, ascorbic acid, azodicarbonamide, sodium stearoyl lactylate, wheat gluten, spices, sugar, onion powder, parsley*, paprika (color), turmeric (color), extractive of paprika (color), spice extractive, citric acid, TBHQ (to preserve freshness). OR Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Canola And/Or Sunflower Oil (With Rosemary Extract And Ascorbic Acid [To Preserve Freshness]), Whey, Salt, Sugar, Yeast, 2% Or Less Of Spices, Dehydrated Parsley, Onion Powder, Paprika (Color), Turmeric (Color), Extractive Of Paprika (Color), Spice Extractive, Enzymes), Grated Parmesan Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial).), Canola Oil(Canola Oil), Water, Garlic (Roasted), Onions, Mayonnaise (v)(Soybean Oil, Water, Egg Yolks, Distilled Vinegar, High Fructose Corn Syrup, Contains Less Than 2% Of Salt, Spice, Lemon Juice Concentrate, Calcium Disodium Edta Added To Protect Flavor. Contains: Egg.), Lemons(Lemon), White Wine Vinegar(White Wine Vinegar (diluted with water to 5% acidity), Potassium Metabisulfite (Preservative).), Dijon Mustard(Water, Mustard Seeds, Distilled Vinegar, Salt, Citric Acid.), Kosher Salt(Kosher Salt), Caper(Capers, Water, Vinegar, Salt), Peeled Garlic Clove, Spices(Black Pepper)",0.61,170.0,3.0,1.0,1/2 Cup (80g),220.0,,9.0,6.0,1.0,,0.0,0.0
412,Sourdough Rounds (vgn),10.0,100,,0.0,Wheat,1.0,,"Sourdough Mix(Wheat Flour, Salt, Fumaric Acid, Sodium Diacetate, Datem, Lactic Acid, Ascorbic Acid, Enzymes.), Water, Dry Active Yeast(Yeast, Sorbitan Monostearate OR Large Flake Inactive Nutritional Yeast), Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.)",1.24,35.0,2.0,4.5,Slice (57g),2850.0,,20.0,8.0,,0.0,0.0,0.0
413,Kahlua Chocolate Cake (v),23.0,410,,60.0,"Eggs, Milk, Soy, Wheat",,3.0,"Powdered Sugar, Sifted(Sugar, Corn Starch), Fresh Cage Free Egg(Egg), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Water, Granulated Sugar (vgn)(Sugar), Brown Sugar (vgn)(Brown Sugar (Cane Sugar, Cane Syrups)), Shortening(Palm Oil. OR Partially Hydrogenated Soybean And Cottonseed Oils.), Butter *ccp(Pasteurized Cream, Salt), Unsweetened Baking Cocoa(100% Cocoa), Kahlua(Rum & Coffee Liquer with Vodka), Organic Italian Dark Roast Coffee (vgn)(Organic Roasted Coffee Beans), Baking Soda(Sodium bicarbonate), Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.)",3.06,115.0,4.0,7.0,Slice (119g),170.0,,67.0,14.0,,51.0,0.0,0.4
414,Chicken Vegetable Soup,20.0,50,,15.0,Soy,1.0,,"Water, Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Halal Chicken Thigh(Halal Chicken Thigh), Peas, Bulk, Frozen(Green Peas), Carrots, Fresh, Diced, Celery(Celery), Onions, Potato, Diced(Potato), Chicken Base(Roasted Chicken, Salt, Sugar, Hydrolyzed Corn Protein, Contains 2% Or Less Of Chicken Fat, Onion Powder, Disodium Inosinate, Disodium Guanylate, Extractive of Turmeric (Color), Spice Extractive. OR Roasted Chicken, Salt, Hydrolyzed Corn Protein, Sugar, Chicken Fat, Maltodextrin, Containes 2% or less of Yeast Extract, Onion Powder, Disodium Inosinate, Disodium Guanylate, Turmeric (Color), Natural Flavoring, Extractive Of Annatto (Color).), Kosher Salt(Kosher Salt), Spices(Ground White Pepper)",0.47,150.0,5.0,0.0,6 oz Ladle (179g),410.0,,5.0,1.5,,2.0,0.0,0.0
415,Turkey Pastrami & Mozzarella Sandwich,122.0,210,,15.0,"Milk, Wheat",,1.0,"Bread Sourdough Sliced Oval, Turkey Pastrami(Turkey meat, water, seasoning (salt, sugar , spices, sodium erythorbate, garlic powder), potassium lactate, sodium phosphate, sodium diacetate, sodium nitrite.), Mozzarella Cheese (v)(Cultured Pasteurized Part-Skim Milk, Salt and Enzymes (Microbial).), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color))",1.67,75.0,12.0,2.5,1/2 Sandwich (89g),600.0,,22.0,7.0,,0.0,0.0,21.1
416,Italian Vegetable Stir Fry (vgn),22.0,40,,0.0,,,2.0,"Zucchini, Sliced, All Roma Tomatoes(Tomato), Broccoli, Cut Flowerettes, Yellow Bell Peppers, Scld(Bell Pepper), Mushrooms(Mushroom), Onions, Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Peeled Garlic Clove, Fresh Herbs(Oregano), Fresh Herbs",0.48,310.0,2.0,0.0,1/2 Cup (121g),15.0,,6.0,1.0,,1.0,0.0,0.0
